county,fips,medill_count,mpa_count,bluebook_count,our_count,max_minus_ours,all_four_agree,medill_newsrooms,mpa_newsrooms,bluebook_newsrooms,our_newsrooms,mpa_service_area_note
Shelby,29205,1,2,1,1,1,no,Shelby County Herald,Independent Courier | Clarence; Shelbyville | Shelby County Herald,Shelby County Herald,Shelby County Herald,
St. Charles,29183,1,4,4,2,2,no,St. Charles Community News,St. Charles County Business Record; St. Charles County Journal; St. Louis American; West & Mid Rivers Newsmagazine,St. Charles Community News; St. Charles County Business Record; St. Charles County Journal; St. Louis Community News,Community News; Mid Rivers Newsmagazine,"St. Louis American [St Charles County, St Louis County]; West & Mid Rivers Newsmagazine [St Charles County, St Louis County]"
St. Clair,29185,1,1,3,1,2,no,St. Clair Co. Courier,Osceola | St. Clair County Courier & Appleton City Journal,Appleton City Journal; Osceola St. Clair County Courier; Rich Hill Mining Review,Appleton City Journal,
St. Francois,29187,2,1,1,2,0,no,"Daily Journal, Park Hills; Farmington Press",Park Hills Daily Journal,Park Hills Daily Journal,"Daily Journal, Park Hills; My Mo info",
St. Louis,29189,6,8,12,21,0,no,40 South News (digital); Mid Rivers Newsmagazine (digital); St. Louis Call Newspapers; St. Louis Community News; Webster-Kirkwood Times; West Newsmagazine (digital),"Call Publications | St. Louis (Green Park, Concord, Oakville, SunCrest and Mail Call); St. Louis Countian; St. Louis Daily Record; St. Louis Labor Tribune; St. Louis Missouri Lawyers Weekly; St. Louis Post-Dispatch; St. Louis | Community News; St. Louis | Webster - Kirkwood Times","Countian St. Louis, The; St. Louis American; St. Louis Business Journal; St. Louis Call Newspapers; St. Louis City Monitor; St. Louis County Ledger; St. Louis Daily Record; St. Louis Labor Tribune; St. Louis Missouri Lawyers Weekly; St. Louis Post-Dispatch; St. Louis Webster - Kirkwood Times; West & Mid Rivers Newsmagazine",ABC 30; KFTK [retired]; KMOV CBS; KPLR11/Fox 2 Now; KSDK NBC; Missouri Lawyers; Newstime [retired]; Radio Red Latina; STL Public Radio; St. Louis American; St. Louis American; St. Louis Business Journal; St. Louis Call Newspapers; St. Louis Jewish Light; St. Louis Post-Dispatch; St. Louis Riverfront Times [retired]; Student Life; The Journal/The Webster Journal [retired]; The University News; Webster Kirkwood Times; West & Mid Rivers Newsmagazine,
St. Louis city,29510,1,2,0,0,2,no,St. Louis Post-Dispatch,St. Louis City Monitor; St. Louis County Ledger,,,"St. Louis City Monitor [St Louis city, St Louis County]; St. Louis County Ledger [St Louis city, St Louis County]"
Ste. Genevieve,29186,1,1,1,1,0,yes,Ste. Genevieve Herald,Ste. Genevieve Herald,Ste. Genevieve Herald,Ste. Genevieve Herald [retired],
Stoddard,29207,1,1,1,1,0,yes,Dexter Statesman,Dexter Statesman,"Statesman, The",The Daily/Dexter Statesman,
Stone,29209,1,2,1,1,1,no,Crane Chronicle/Stone County Republican,Branson Tri-Lakes News; Crane Chronicle/Stone County Republican,Crane Chronicle/Stone County Republican,Stone County Republican / Crane Chronicle,"Branson Tri-Lakes News [Stone County, Taney County]"
Sullivan,29211,1,1,1,1,0,yes,Milan Standard,Milan Standard,Milan Standard,The Milan Standard,
Taney,29213,1,0,1,2,0,no,Branson Tri-Lakes News,,Branson Tri-Lakes News,Branson Tri-Lakes News; KRZK [retired],
Texas,29215,3,2,3,2,1,no,Houston Herald; Licking News; Summersville Beacon,Houston Herald; Summersville Beacon,Houston Herald; Licking News; Summersville Beacon,Houston Herald; The Licking News [retired],
Vernon,29217,1,1,1,1,0,yes,The Nevada Daily Mail,Nevada Daily Mail,Nevada Daily Mail,The Nevada Daily Mail,
Warren,29219,1,1,1,1,0,yes,Warren County Record,Warren County Record,Warren County Record,Warren County Record,
Washington,29221,1,1,1,1,0,yes,Independent-Journal,Potosi Independent Journal,Potosi Independent Journal,Independent-Journal,
Wayne,29223,1,1,0,0,1,no,Wayne County Journal-Banner,Piedmont Wayne Co. Journal-Banner,,,
Webster,29225,2,2,2,2,0,yes,Marshfield Mail; Webster County Citizen,Marshfield Mail; Seymour Webster County Citizen,Marshfield Mail; Seymour Webster County Citizen,Marshfield Mail; Webster County Citizen,
Worth,29227,2,1,2,0,2,no,Sheridan Express; Times Tribune,Sheridan Express,Grant City Times Tribune; Sheridan Express,,
Wright,29229,1,1,1,1,0,yes,Wright County Journal,Wright County Journal,Wright County Journal,Wright County Journal,
